brand_name,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,2026-04-19,2026-04-26,2026-05-03,2026-05-10,2026-05-17,2026-05-24,2026-05-31,2026-06-07,2026-06-14,2026-06-21,total
APUESTAS ROYAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BETANO,0.00,4058212.13,2197684.54,3389914.85,1830087.74,2087518.51,2181457.88,3478786.24,3363618.44,6218640.70,6794616.25,11024646.97,8646048.44,10491832.71,7314113.08,5451386.76,7630105.91,8405683.82,10915048.11,7691880.33,9621881.58,15289355.17,7224667.76,11736489.38,10332235.34,167375912.63
BETSSON,0.00,0.00,614983.66,125853.85,477116.40,798070.74,124300.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2140324.99
COOLBET,3830303.20,8704179.54,11414686.04,12031761.59,8830508.99,10011480.98,8984652.40,7003856.60,26637532.23,19688557.32,15681057.31,25436837.15,39742915.05,43939140.32,30924468.20,15970704.81,8234643.55,13786262.54,32672601.42,27667121.28,25679172.40,38152675.76,25077039.28,27170359.67,36681232.56,523953750.20
EPICBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1767791.38,1767791.38
JUEGA EN LINEA,0.00,0.00,0.00,0.00,0.00,0.00,95710.71,0.00,0.00,31642.79,26643.79,0.00,0.00,58752.47,7337.32,110106.04,3405.82,251.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333850.25
JUGABET,4463588.65,1960544.67,6264386.22,6450548.96,5903494.26,3856970.28,5036.38,10582.28,309620.89,184194.36,7664.79,0.00,1203.94,302785.52,769218.27,89614.49,442468.93,619422.97,17796932.02,17041045.90,16785887.25,11738310.14,10909423.29,13991913.38,11451499.60,131356357.44
LATAMWIN,0.00,496058.49,5634776.74,5069170.04,14038026.60,4876000.52,5037059.99,3674188.44,643407.30,13296733.99,2741698.61,10737916.25,4976203.53,10671277.91,2631928.18,2980735.48,3778923.64,6238347.41,4640536.79,4906759.98,4736137.17,5904724.74,6080004.00,6577391.08,5217107.23,135585114.11
ROJABET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,592987.17,397647.70,359316.99,1349951.87
TONYBET,1059904.04,1594550.72,1506308.93,1425839.70,2536461.23,3691374.52,2893169.31,667960.29,613040.48,1034407.14,1173546.08,1500779.09,1751060.50,1433517.71,0.00,5153453.17,1071091.92,2278153.99,2371104.12,1378078.48,1315942.89,1474966.26,253060.85,240110.63,355852.11,38773734.18
