brand_name,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,2026-04-19,2026-04-26,2026-05-03,2026-05-10,2026-05-17,2026-05-24,2026-05-31,2026-06-07,2026-06-14,2026-06-21,total
APUESTAS ROYAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BETANO,754281.00,3562490.00,5755343.00,5127718.00,4348982.00,4123952.00,3148580.00,3999658.00,4154343.00,3327047.00,3372223.00,3746435.00,2862789.00,2766960.00,2978420.00,3062909.00,3517002.00,2953433.00,2283580.00,2404277.00,2180798.00,2508303.00,2243925.00,3772964.00,3761243.00,82717655.00
BETSSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COOLBET,143914.00,45348.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1191300.00,1696320.00,1943004.00,2233227.00,2103825.00,2227164.00,2238867.00,2556823.00,2298442.00,18678234.00
EPICBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JUEGA EN LINEA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JUGABET,121116.00,3881271.00,3033374.00,3121032.00,3017510.00,2653500.00,1763821.00,2667465.00,2563753.00,2740991.00,3177391.00,3396043.00,3153939.00,3135751.00,3128389.00,2945510.00,3505170.00,3475027.00,3845962.00,3739780.00,3984837.00,3832097.00,3691882.00,3871664.00,3465331.00,77912606.00
LATAMWIN,68655.00,61933.00,1633168.00,2194762.00,2430205.00,2394071.00,2160853.00,2966841.00,2635467.00,1621843.00,1741676.00,1858616.00,2054354.00,1676879.00,1757531.00,1738596.00,1525054.00,1300575.00,1392057.00,1228709.00,1278235.00,1458304.00,1480514.00,1323298.00,1390994.00,41373190.00
ROJABET,499115.00,608890.00,1030656.00,644310.00,1002420.00,496178.00,655660.00,390413.00,807956.00,314437.00,811975.00,416056.00,768752.00,708896.00,2038826.00,2067962.00,2075369.00,2281110.00,2405806.00,2393861.00,2560941.00,2023662.00,2402186.00,2532942.00,2247661.00,34186040.00
TONYBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
