brand_name,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,2026-04-19,2026-04-26,2026-05-03,2026-05-10,2026-05-17,2026-05-24,2026-05-31,2026-06-07,2026-06-14,2026-06-21,total
APUESTAS ROYAL,52840.00,46390.00,2984.00,75366.00,60868.00,142230.00,287100.00,600319.00,666241.00,809014.00,885121.00,611937.00,602278.00,428624.00,828723.00,595826.00,438506.00,662606.00,776660.00,383616.00,663531.00,548085.00,491708.00,509367.00,603597.00,11773537.00
BETANO,18709648.00,65687518.13,57470020.54,70909166.85,71429687.74,95799770.51,52535173.88,81527718.24,58095455.44,89777603.70,73990822.25,100364920.97,87340222.44,90602460.71,73255883.08,59076873.76,62221761.91,72583135.82,70232294.11,63441720.33,72284620.58,108194643.17,70026369.76,89826864.38,126984394.34,1882368750.63
BETSSON,254440.00,603912.00,718265.66,721450.85,849407.40,951341.74,159871.34,148538.00,141445.00,362672.00,691251.00,282383.00,152993.00,58820.00,465462.00,214517.00,157654.00,248740.00,312914.00,200863.00,141917.00,202756.00,39829.00,8453088.00,21601434.00,38135964.99
COOLBET,4668421.20,8749527.54,11414686.04,12031761.59,8830508.99,11159640.98,8984652.40,7975496.60,29656252.23,20984077.32,20767617.31,26732357.15,39742915.05,45912070.32,31587398.20,15970704.81,9753018.55,22543967.54,36337255.42,31411049.28,30664448.40,44650744.76,36409757.28,43302334.67,57246235.56,617486899.20
EPICBET,0.00,46575096.00,54583443.00,46135852.00,32195214.00,113889462.00,22012768.00,43947212.00,16629960.00,10885870.00,9934523.00,2784418.00,7205201.00,873288.00,860904.00,873288.00,887203.00,584526.00,33793.00,0.00,13915.00,0.00,29817.00,0.00,1767791.38,412703544.38
JUEGA EN LINEA,41778.00,39798.00,62469.00,60192.00,47421.00,79893.00,149269.71,62271.00,77616.00,100150.79,89904.79,29997.00,0.00,58752.47,7337.32,110106.04,3405.82,251.29,35316.00,0.00,0.00,0.00,0.00,0.00,0.00,1055929.25
JUGABET,7609232.65,9041815.67,28299107.22,68997833.96,37372895.26,55694315.28,11976544.38,69011257.28,22905609.89,12334293.36,9160115.79,12044027.00,8583650.94,12395348.52,8867596.27,9706214.49,10369424.93,11068492.97,27093939.02,27251633.90,29920968.25,27005128.14,28294960.29,32127252.38,51144491.60,628276149.44
LATAMWIN,68655.00,557991.49,7267944.74,7263932.04,16468231.60,7270071.52,7197912.99,6641029.44,3278874.30,14918576.99,4483374.61,12596532.25,7030557.53,12348156.91,4389459.18,4719331.48,5303977.64,7538922.41,6032593.79,6135468.98,6014372.17,7363028.74,7560518.00,7900689.08,6608101.23,176958304.11
ROJABET,553013.00,691726.00,2110194.00,2633714.00,2435588.00,1992334.00,2085044.00,1773487.00,2235722.00,4084028.00,5005610.00,4243572.00,4111710.00,4629315.00,4216096.00,6569505.00,6832688.00,5422179.00,4669639.00,7846344.00,6808550.00,13729028.00,8999081.17,9808639.70,8449087.99,121935894.87
TONYBET,1059904.04,1594550.72,1506308.93,1425839.70,2536461.23,3691374.52,2893169.31,667960.29,613040.48,1034407.14,1173546.08,1500779.09,1751060.50,4502384.71,2770300.00,8030353.17,4110924.92,4870353.99,5592071.12,5233920.48,4642989.89,1474966.26,253060.85,3035110.63,3111852.11,69076690.18
