brand_name,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,2026-04-19,2026-04-26,2026-05-03,2026-05-10,2026-05-17,2026-05-24,2026-05-31,2026-06-07,2026-06-14,2026-06-21,total
APUESTAS ROYAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BETANO,17243175.00,56689236.00,48600997.00,49004036.00,61941400.00,49858146.00,38844378.00,41964018.00,44717653.00,58870850.00,61266546.00,65407332.00,71835756.00,55056832.00,53187123.00,48673742.00,47627310.00,55637415.00,52422641.00,48944029.00,56495999.00,87998599.00,57890484.00,71763741.00,89308164.00,1391249602.00
BETSSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8363354.00,18514006.00,26877360.00
COOLBET,103766.00,0.00,0.00,0.00,0.00,1148160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,662930.00,0.00,327075.00,2264325.00,1686137.00,1476720.00,2845721.00,4237351.00,9060297.00,13487095.00,17599623.00,54899200.00
EPICBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JUEGA EN LINEA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35316.00,0.00,0.00,0.00,0.00,0.00,0.00,35316.00
JUGABET,3024528.00,0.00,0.00,11434933.00,11974138.00,5341131.00,5568539.00,5529554.00,6575692.00,5534222.00,5485300.00,4940001.00,5187674.00,4899470.00,4447275.00,5913968.00,5533103.00,4368363.00,5064503.00,5789038.00,7474714.00,10719438.00,9204673.00,8174873.00,12929848.00,155114978.00
LATAMWIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROJABET,53898.00,82836.00,88386.00,79406.00,92107.00,86806.00,85940.00,84474.00,129612.00,2578985.00,3043030.00,2810360.00,2442166.00,2692776.00,966626.00,3300331.00,3469353.00,2483273.00,2263833.00,5168015.00,4001139.00,3896200.00,4607459.00,5227648.00,3676746.00,53411405.00
TONYBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3068867.00,2770300.00,2876900.00,3039833.00,2592200.00,3220967.00,3855842.00,3327047.00,0.00,0.00,2795000.00,2756000.00,30302956.00
