observed_at,brand_name,url,domain,payment_label,payment_processor,payment_method,is_available,source_file,source_sheet
2026-04-14,1XBET,https://onetouch.astropay.com/deposit/auth/2Q42VGZVpkMhOhhi7gbxv6BFkZUSR15a7bBHM6Lt,onetouch.astropay.com,Astropay,ASTROPAY,wallet_or_psp,true,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-23,1XBET,https://onetouch.astropay.com/deposit/auth/2Q42VGZVpkMhOhhi7gbxv6BFkZUSR15a7bBHM6Lt,onetouch.astropay.com,Astropay,ASTROPAY,wallet_or_psp,true,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-29,1XBET,,,Astropay,ASTROPAY,wallet_or_psp,true,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-14,1XBET,https://nfasd63.illongrlong.com/payment?project_id=148266&redirect_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&redirect_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&redirect_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&redirect_success_mode=parent_page&redirect_fail_mode=parent_page&redirect=1&payment_id=21284826291&payment_description=Account+deposit+1630877173&payment_currency=USD&payment_amount=150&mode=purchase&merchant_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&merchant_success_redirect_mode=parent_page&merchant_success_enabled=1&merchant_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&merchant_return_redirect_mode=parent_page&merchant_return_enabled=1&merchant_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&merchant_fail_redirect_mode=parent_page&merchant_fail_enabled=1&language_code=es&force_payment_method=unify_Binance_Pay&force_acs_new_window=0&customer_id=1630877173&signature=20tS7HWcOAJHVR89Ww4NyogiSoKRkKpYQfwkDAIIuByoRBCFcrTSmPNz4uE8jpcjYFZeDbklBJh%2FlNrg5B9mDw%3D%3D,nfasd63.illongrlong.com,Binance Pay,BINANCE PAY,crypto,true,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-23,1XBET,https://nfasd63.illongrlong.com/payment?project_id=148266&redirect_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&redirect_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&redirect_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&redirect_success_mode=parent_page&redirect_fail_mode=parent_page&redirect=1&payment_id=21317673595&payment_description=Account+deposit+1630877173&payment_currency=USD&payment_amount=150&mode=purchase&merchant_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&merchant_success_redirect_mode=parent_page&merchant_success_enabled=1&merchant_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&merchant_return_redirect_mode=parent_page&merchant_return_enabled=1&merchant_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&merchant_fail_redirect_mode=parent_page&merchant_fail_enabled=1&language_code=es&force_payment_method=unify_Binance_Pay&force_acs_new_window=0&customer_id=1630877173&signature=FlkbRgGMpBeAJMrDFdCxv6pMCVwWvwawMb%2BgxeQ5XEN3B4jCLwljnMA7g89WUlBoR902G4JI5fD0UVlOqfiBTQ%3D%3D,nfasd63.illongrlong.com,Binance Pay,BINANCE PAY,crypto,true,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-29,1XBET,https://nfasd63.illongrlong.com/payment?project_id=148266&redirect_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&redirect_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&redirect_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&redirect_success_mode=parent_page&redirect_fail_mode=parent_page&redirect=1&payment_id=21417134705&payment_description=Account+deposit+1630877173&payment_currency=USD&payment_amount=150&mode=purchase&merchant_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&merchant_success_redirect_mode=parent_page&merchant_success_enabled=1&merchant_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&merchant_return_redirect_mode=parent_page&merchant_return_enabled=1&merchant_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&merchant_fail_redirect_mode=parent_page&merchant_fail_enabled=1&language_code=es&force_payment_method=unify_Binance_Pay&force_acs_new_window=0&customer_id=1630877173&signature=Mw59m0lAb1uh8ORfnXjSzZxo06u5k0nnHzzzx3%2BKlx%2F36H2qG%2Bg1y2jirVVBJs9%2Bi67dHN8%2BHohLnYYinEmeWw%3D%3D,nfasd63.illongrlong.com,Binance Pay,BINANCE PAY,crypto,true,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-14,1XBET,,,Bitcoin,,crypto,false,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-23,1XBET,,,Bitcoin,,crypto,false,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-29,1XBET,,,Bitcoin,,crypto,false,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
2026-04-14,1XBET,https://www.cleopagos.com/?id=9a7af441-5f71-4a94-b4b8-fc236a5a7fa3,cleopagos.com,Cleo,CLEO,wallet_or_psp,true,Levantamiento casas de apuestas 29-04.xlsx,Hoja1
