brand_name,domain,url
1XBET,cleopagos.com,https://www.cleopagos.com/?id=9a7af441-5f71-4a94-b4b8-fc236a5a7fa3
1XBET,nfasd63.illongrlong.com,https://nfasd63.illongrlong.com/payment?project_id=148266&redirect_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&redirect_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&redirect_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&redirect_success_mode=parent_page&redirect_fail_mode=parent_page&redirect=1&payment_id=21284826291&payment_description=Account+deposit+1630877173&payment_currency=USD&payment_amount=150&mode=purchase&merchant_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&merchant_success_redirect_mode=parent_page&merchant_success_enabled=1&merchant_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&merchant_return_redirect_mode=parent_page&merchant_return_enabled=1&merchant_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&merchant_fail_redirect_mode=parent_page&merchant_fail_enabled=1&language_code=es&force_payment_method=unify_Binance_Pay&force_acs_new_window=0&customer_id=1630877173&signature=20tS7HWcOAJHVR89Ww4NyogiSoKRkKpYQfwkDAIIuByoRBCFcrTSmPNz4uE8jpcjYFZeDbklBJh%2FlNrg5B9mDw%3D%3D
1XBET,pay.skrill.com,https://pay.skrill.com/wallet/checkout?sid=a31a57567eb4ca268f6f86f40c281309
1XBET,pmt-01.etpayment.com,https://pmt-01.etpayment.com/session/A519khD7StKXTVsSy9LpFIaXaUvhf5mSoF1kExw7ziZI9hoOfZOefHlEKIBjQd07/login
1XBET,pmt-01.etpayment.com,https://pmt-01.etpayment.com/session/kBU2g5WwNj7XvOxadEVLjBSSY0JOjorZsCKmvSkxHfquZ0Qr0JzKNF36POgyyE45/previous_tnb
1XBET,webpay3g.transbank.cl,https://webpay3g.transbank.cl/webpayserver/dist/#/
APUESTAS ROYAL,app.payku.cl,https://app.payku.cl/gateway/paymentsfintoc
APUESTAS ROYAL,checkout.somosmach.com,https://checkout.somosmach.com/payment/36a2085b-8a6e-4350-874a-4d9a8ca5487f?tokenView=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJidXNpbmVzc01hY2hJZCI6Ijc1ZDQxM2M4LTkxOGQtNDVkYi1hNjkwLTg2YWFkYjBiYmEyMCIsImJ1c2luZXNzUGF5bWVudElkIjoiMzZhMjA4NWItOGE2ZS00MzUwLTg3NGEtNGQ5YThjYTU0ODdmIiwic2NvcGVzIjpbInBheW1lbnRzLmNyZWF0ZSIsInBheW1lbnRzLmdldCJdLCJpYXQiOjE3NzY4MDEwMzEsImV4cCI6MTc3NjgwMjUzMX0.ItF5Hzxxr0RCBUF9u9FgY2kYxHBNEj9EBGEoJUejpBY
APUESTAS ROYAL,nv.pago46.io,https://nv.pago46.io/43b6c2d2-0aa7-44cc-968f-2e1e1216a2f8
APUESTAS ROYAL,webpay3g.transbank.cl,https://webpay3g.transbank.cl/webpayserver/dist/#/
