source,target,relationship,payment_method
1XBET,BINANCE PAY,uses_payment_infrastructure,crypto
1XBET,CLEO,uses_payment_infrastructure,wallet_or_psp
1XBET,Cripto,uses_payment_infrastructure,crypto
1XBET,Depósito bancario (Transferencia),uses_payment_infrastructure,bank_transfer
1XBET,ETPAY,uses_payment_infrastructure,wallet_or_psp
1XBET,ALPS SPA,uses_payment_infrastructure,wallet_or_psp
1XBET,Ingresar Débito/Crédito,uses_payment_infrastructure,card
1XBET,MACH,uses_payment_infrastructure,wallet_or_psp
1XBET,SKRILL,uses_payment_infrastructure,wallet_or_psp
1XBET,PAYRETAILERS,uses_payment_infrastructure,card
1XBET,WEBPAY,uses_payment_infrastructure,card
1XBET,PAYKU,uses_payment_infrastructure,card
APUESTAS ROYAL,BINANCE PAY,uses_payment_infrastructure,crypto
APUESTAS ROYAL,Depósito bancario (Transferencia),uses_payment_infrastructure,bank_transfer
APUESTAS ROYAL,FINTOC,uses_payment_infrastructure,bank_transfer
APUESTAS ROYAL,KHIPU,uses_payment_infrastructure,bank_transfer
APUESTAS ROYAL,MACH,uses_payment_infrastructure,wallet_or_psp
APUESTAS ROYAL,Pago en efectivo,uses_payment_infrastructure,cash
APUESTAS ROYAL,PAGO46,uses_payment_infrastructure,cash
APUESTAS ROYAL,PK,uses_payment_infrastructure,card
APUESTAS ROYAL,WEBPAY,uses_payment_infrastructure,card
BETANO,Cripto,uses_payment_infrastructure,crypto
BETANO,Depósito bancario (Transferencia),uses_payment_infrastructure,bank_transfer
BETANO,Ingresar Débito/Crédito,uses_payment_infrastructure,card
BETANO,MACH,uses_payment_infrastructure,wallet_or_psp
BETANO,NETELLER,uses_payment_infrastructure,wallet_or_psp
BETANO,SKRILL,uses_payment_infrastructure,wallet_or_psp
BETANO,PRONTOPAGA,uses_payment_infrastructure,card
BETANO,WEBPAY,uses_payment_infrastructure,card
BETSSON,Ingresar Débito/Crédito,uses_payment_infrastructure,card
BETSSON,KHIPU,uses_payment_infrastructure,bank_transfer
BETSSON,MACH,uses_payment_infrastructure,wallet_or_psp
BETSSON,PRONTOPAGA,uses_payment_infrastructure,wallet_or_psp
BETSSON,KUSHKI,uses_payment_infrastructure,card
BETSSON,WEBPAY,uses_payment_infrastructure,card
COOLBET,ASTROPAY,uses_payment_infrastructure,wallet_or_psp
COOLBET,Bitcoin,uses_payment_infrastructure,crypto
COOLBET,CLEO,uses_payment_infrastructure,wallet_or_psp
COOLBET,ETPAY,uses_payment_infrastructure,wallet_or_psp
