observed_at,brand_name,url,domain,payment_label,payment_processor,payment_method,is_available,source_file,source_sheet
2026-04-14,1XBET,,,Astropay,ASTROPAY,wallet_or_psp,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,https://nfasd63.illongrlong.com/payment?project_id=148266&redirect_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&redirect_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&redirect_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&redirect_success_mode=parent_page&redirect_fail_mode=parent_page&redirect=1&payment_id=21284826291&payment_description=Account+deposit+1630877173&payment_currency=USD&payment_amount=150&mode=purchase&merchant_success_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fsuccess%2F&merchant_success_redirect_mode=parent_page&merchant_success_enabled=1&merchant_return_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Fpending%2F&merchant_return_redirect_mode=parent_page&merchant_return_enabled=1&merchant_fail_url=https%3A%2F%2Fchile.1xbet.com%2Fonpay%2Ffail%2F&merchant_fail_redirect_mode=parent_page&merchant_fail_enabled=1&language_code=es&force_payment_method=unify_Binance_Pay&force_acs_new_window=0&customer_id=1630877173&signature=20tS7HWcOAJHVR89Ww4NyogiSoKRkKpYQfwkDAIIuByoRBCFcrTSmPNz4uE8jpcjYFZeDbklBJh%2FlNrg5B9mDw%3D%3D,nfasd63.illongrlong.com,Binance Pay,BINANCE PAY,crypto,true,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,Bitcoin,,crypto,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,https://www.cleopagos.com/?id=9a7af441-5f71-4a94-b4b8-fc236a5a7fa3,cleopagos.com,Cleo,CLEO,wallet_or_psp,true,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,Cripto,,crypto,true,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,https://www.cleopagos.com/?id=9a7af441-5f71-4a94-b4b8-fc236a5a7fa3,cleopagos.com,Depósito bancario (Transferencia),,bank_transfer,true,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,https://pmt-01.etpayment.com/session/A519khD7StKXTVsSy9LpFIaXaUvhf5mSoF1kExw7ziZI9hoOfZOefHlEKIBjQd07/login,pmt-01.etpayment.com,ETpay,ETPAY,wallet_or_psp,true,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,ETpay / Alps,ALPS SPA,wallet_or_psp,true,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,ETpay / Alps,ETPAY,wallet_or_psp,true,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,ETpay / Kushki,ETPAY,wallet_or_psp,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,ETpay / Kushki,KUSHKI,wallet_or_psp,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,ETpay / MONNET,ETPAY,wallet_or_psp,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,ETpay / MONNET,MONNET,wallet_or_psp,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,Fintoc,FINTOC,bank_transfer,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,"Fintoc, ALPS SPA",ALPS SPA,bank_transfer,false,Casas de apuestas levantamiento.xlsx,Hoja1
2026-04-14,1XBET,,,"Fintoc, ALPS SPA",FINTOC,bank_transfer,false,Casas de apuestas levantamiento.xlsx,Hoja1
