brand_name,ALPS SPA,ASTROPAY,BINANCE PAY,CLEO,ETPAY,FINTOC,FLOW,KHIPU,KUSHKI,MACH,MIFINITY,MONNET,MUCHBETTER,NETELLER,PAGO46,PAYKU,PAYRETAILERS,PK,PRONTOPAGA,SAFETYPAY,SKRILL,WEBPAY
1XBET,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
APUESTAS ROYAL,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
BETANO,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
BETSSON,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
COOLBET,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
EPICBET,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
JUGABET,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
LATAMWIN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI CASINO,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
NOVIBET,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
ROJABET,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
TONYBET,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1
