rank,lobbyist_name,beneficiary_summary,passive_name,passive_role,passive_organization,meetings_count
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Heidi Berner,Subsecretario,SUBSECRETARÍA DE HACIENDA,3
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Alejandro Bernales Maldonado,Diputado,CAMARA DE DIPUTADOS,2
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Joaquín Lavín León,Asesor legislativo Diputado,CAMARA DE DIPUTADOS,2
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Andrés Giordano Salazar,Asesor legislativo Diputado,CAMARA DE DIPUTADOS,1
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Anuar Quesille,Jefe de servicio,Defensoría de los Derechos de la Niñez,1
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Boris Barrera Moreno,Diputado,CAMARA DE DIPUTADOS,1
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Claudia Sanhueza Riveros,Subsecretario,SUBSECRETARÍA DE HACIENDA,1
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Eric Aedo Jeldres,Asesor legislativo Diputado,CAMARA DE DIPUTADOS,1
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Felipe Camaño Cárdenas,Asesor legislativo Diputado,CAMARA DE DIPUTADOS,1
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Frank Sauerbaum Muñoz,Diputado,CAMARA DE DIPUTADOS,1
1,Carlos Baeza / Carlos Baeza Guíñez,Carlos Baeza (17); Nicole Morandé (3); Agrupación de plataformas de juego en línea (2); +7 más,Gonzalo De la Carrera Correa,Asesor legislativo Diputado,CAMARA DE DIPUTADOS,1
